Thing Type Code,Thing Serial,Thing Name,Owner Group,Alias Config,Retail_ClassCode,Retail_ClassName,Retail_Color,Retail_DepartmentName,Retail_DepartmentCode,Retail_Dimension,Retail_ExternalSKU,Retail_ImageURL,Retail_IsRFID,Retail_Manufacturer,Retail_SKU,Retail_SKUOriginal,Retail_UOM,Retail_SKUDescription,Retail_Style,Retail_SubClassCode,Retail_SubClassName,Retail_GTIN,Retail_CompanyPrefix,Retail_Size,Retail_Brand,Retail_BusinessGroupName,Retail_BusinessGroupCode,Retail_SalesFloorTargetQty,Retail_FloorPadDesc,Retail_FloorPadID,Retail_GTINPosition_3_7,Retail_RangeActiveInd,Retail_RangeEnd,Retail_RangeStart,Retail_Active,Retail_PutAwayCode,Retail_BoxID,Retail_WideorRegularInd,tsMongoIn,source,tsCoreIn,tsEdgeIn,ViZix_Unused,Retail_MajorClassId,Retail_CustomerStyleId,Retail_MajorClassCode,Retail_MajorClassName,Retail_GTINPosition_2_8,Retail_GTINPosition_9_13,Retail_UPCNumber,Retail_FileName,Retail_Brand_Code,Retail_Style_Code,Retail_Weight_Gross_Unit,Retail_Weight_Gross_Value,Retail_Weight_Net_Unit,Retail_Weight_Net_Value,Retail_Update_Time,Retail_Option_Code,Retail_Option_Label,Retail_Season_Code,Retail_Season_Label,Retail_Season_Madein_Code,Retail_Season_Madein_Label,Retail_Mate_Bundle,Retail_Extension,Retail_Price,Retail_VPN,Retail_Product_Code,Retail_Recommendations,Retail_Color_Code,Retail_Size_Code,Retail_ImageURLDesktop,Retail_ImageURLMobile,minLifespanFromArrival,minLifespanFromProduction,minLifespanFromTimeOfPacking,expiringDaysBeforeExpiration,Retail_PriceOriginal,Retail_GTINOriginal,Retail_SKUDescriptionFull
PRODUCT,00761010088661,00761010088661,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00761010088661,00761010088661,,8661,Lug Avo Hass 32,8661,Fruits/Vegetables8661,00761010088661,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.782-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.671-0400,2021-04-21T15:19:00.233-0400,,,,,,,,00761010088661,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00761010088661,Fruits/Vegetables8661
PRODUCT,00399820348646,00399820348646,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820348646,00399820348646,,8646,497BBPCMGN600- Pulp burrito bowl(600ct.),8646,Supplies8646,00399820348646,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.717-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.611-0400,2021-04-16T11:41:00.158-0400,,,,,,,,00399820348646,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820348646,Supplies8646
PRODUCT,00761010076965,00761010076965,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00761010076965,00761010076965,,6965,LG AVO HASS 60,6965,Fruits/Vegetables6965,00761010076965,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.781-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.690-0400,2021-04-21T15:19:00.232-0400,,,,,,,,00761010076965,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00761010076965,Fruits/Vegetables6965
PRODUCT,00761010116067,00761010116067,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00761010116067,00761010116067,,6067,LUG AVO HASS 32,6067,Fruits/Vegetables6067,00761010116067,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.930-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.888-0400,2021-04-21T15:19:00.235-0400,,,,,,,,00761010116067,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00761010116067,Fruits/Vegetables6067
PRODUCT,00761010103470,00761010103470,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00761010103470,00761010103470,,3470,LG AVO HASS 36 OLE,3470,Fruits/Vegetables3470,00761010103470,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.764-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.615-0400,2021-04-21T15:19:00.233-0400,,,,,,,,00761010103470,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00761010103470,Fruits/Vegetables3470
PRODUCT,00751884910786,00751884910786,>QAIKEA2,,,Seasonings,GREEN,,,,,,false,,00751884910786,00751884910786,,0786,FRYMAX SUN SUPREME W/O SILICONE,0786,Seasonings0786,00751884910786,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.708-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.681-0400,2021-04-21T15:19:00.232-0400,,,,,,,,00751884910786,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00751884910786,Seasonings0786
PRODUCT,00811033011136,00811033011136,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00811033011136,00811033011136,,1136,Paradigm 899 Series PF Vinyl - Medium,1136,Supplies1136,00811033011136,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.972-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.888-0400,2021-04-21T15:19:00.315-0400,,,,,,,,00811033011136,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00811033011136,Supplies1136
PRODUCT,00761010107829,00761010107829,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00761010107829,00761010107829,,7829,LG Avo HAss 50 CL MB Ripe,7829,Fruits/Vegetables7829,00761010107829,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.883-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.794-0400,2021-04-21T15:19:00.234-0400,,,,,,,,00761010107829,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00761010107829,Fruits/Vegetables7829
PRODUCT,00761010096710,00761010096710,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00761010096710,00761010096710,,6710,LG Avo Hass 60 ORG,6710,Fruits/Vegetables6710,00761010096710,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:33.765-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:33.656-0400,2021-04-21T15:19:00.233-0400,,,,,,,,00761010096710,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00761010096710,Fruits/Vegetables6710
PRODUCT,00749384001714,00749384001714,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00749384001714,00749384001714,,1714,320-35-100,1714,Supplies1714,00749384001714,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.790-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.701-0400,2021-04-16T11:41:00.158-0400,,,,,,,,00749384001714,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00749384001714,Supplies1714
