data;store_id;sku;qty;
15/03/2019;9999999;7512653K0006;24;
15/03/2019;9999999;751487012214;6;
15/03/2019;9999999;751487022213;6;
15/03/2019;9999999;751487032218;1;
15/03/2019;9999999;751487042217;6;
15/03/2019;9999999;751654EZ2021;2;
15/03/2019;9999999;751654EZ2038;3;
15/03/2019;9999999;751654EZ2045;4;
15/03/2019;9999999;751654NF2024;24;
15/03/2019;9999999;751654NF2031;6;
15/03/2019;9999999;751654NF2048;3;
15/03/2019;9999999;751654NM2027;7;
15/03/2019;9999999;751654NM2034;5;
15/03/2019;9999999;751654NM2041;2;
15/03/2019;9999999;751655EZ2020;2;
15/03/2019;9999999;751655EZ2037;1;
15/03/2019;9999999;751655EZ2044;1;
15/03/2019;9999999;751655NF2023;5;
15/03/2019;9999999;751655NF2030;16;
15/03/2019;9999999;751655NF2047;3;
15/03/2019;9999999;751655NM2026;10;
15/03/2019;9999999;751655NM2033;9;
15/03/2019;9999999;751655NM2040;1;
15/03/2019;9999999;751656022020;8;
15/03/2019;9999999;751656022037;37;
15/03/2019;9999999;751656022044;14;
15/03/2019;9999999;751658022028;5;
15/03/2019;9999999;751658022035;8;
15/03/2019;9999999;751658022042;4;
15/03/2019;9999999;751659022027;7;
15/03/2019;9999999;751659022034;4;
15/03/2019;9999999;751659022041;7;
15/03/2019;9999999;751669022024;2;
15/03/2019;9999999;751669022031;3;
15/03/2019;9999999;751669022048;1;
15/03/2019;9999999;752229000001;94;
15/03/2019;9999999;753034022219;7;
15/03/2019;9999999;753035022027;3;
15/03/2019;9999999;753035022034;3;
15/03/2019;9999999;753035022041;2;
15/03/2019;9999999;753036022217;1;
15/03/2019;9999999;753037022216;10;
15/03/2019;9999999;753038022215;6;
15/03/2019;9999999;753039022023;2;
15/03/2019;9999999;753039022030;2;
15/03/2019;9999999;753040022029;2;
15/03/2019;9999999;753040022036;2;
15/03/2019;9999999;753040022043;2;
15/03/2019;9999999;753042022218;7;
15/03/2019;9999999;753043022026;2;
15/03/2019;9999999;753043022033;5;
15/03/2019;9999999;753043022040;1;
15/03/2019;9999999;753044022032;7;
15/03/2019;9999999;753044022049;6;
15/03/2019;9999999;753045022215;12;
