data;store_id;sku;qty
03/08/2019;9999999;751654CL2021;1;
03/08/2019;9999999;751654EZ2038;2;
03/08/2019;9999999;751654EZ2045;2;
03/08/2019;9999999;751654NF2024;20;
03/08/2019;9999999;751654NF2031;9;
03/08/2019;9999999;751654NF2048;17;
03/08/2019;9999999;751654NM2027;3;
03/08/2019;9999999;751654NM2034;16;
03/08/2019;9999999;751654NM2041;2;
03/08/2019;9999999;751655EZ2020;1;
03/08/2019;9999999;751655NF2023;2;
03/08/2019;9999999;751655NF2030;3;
03/08/2019;9999999;751655NM2026;12;
03/08/2019;9999999;751655NM2033;4;
03/08/2019;9999999;751655Q52021;1;
03/08/2019;9999999;751656022020;2;
03/08/2019;9999999;751656022037;4;
03/08/2019;9999999;751656022044;3;
03/08/2019;9999999;751658022028;5;
03/08/2019;9999999;751658022035;10;
03/08/2019;9999999;751658022042;6;
03/08/2019;9999999;751659022027;8;
03/08/2019;9999999;751659022034;10;
03/08/2019;9999999;751659022041;9;
03/08/2019;9999999;752229000001;54;
03/08/2019;9999999;752888000008;2;
03/08/2019;9999999;753034022219;8;
03/08/2019;9999999;753035022027;2;
03/08/2019;9999999;753035022034;3;
03/08/2019;9999999;753035022041;1;
03/08/2019;9999999;753036022217;6;
03/08/2019;9999999;753037022216;27;
03/08/2019;9999999;753039022023;9;
03/08/2019;9999999;753039022030;8;
03/08/2019;9999999;753039022047;11;
03/08/2019;9999999;753040022029;7;
03/08/2019;9999999;753040022036;25;
03/08/2019;9999999;753040022043;8;
03/08/2019;9999999;753042022218;3;
03/08/2019;9999999;753043022026;8;
03/08/2019;9999999;753043022033;7;
03/08/2019;9999999;753043022040;4;
03/08/2019;9999999;753044022025;5;
03/08/2019;9999999;753044022032;3;
03/08/2019;9999999;753044022049;5;
03/08/2019;9999999;753045022215;9;
03/08/2019;9999999;753046022023;2;
03/08/2019;9999999;753046022030;3;
03/08/2019;9999999;753046022047;13;
03/08/2019;9999999;754927XQ2218;2;
03/08/2019;9999999;7549316P2218;1;
03/08/2019;9999999;755086062212;5;
03/08/2019;9999999;755086EZ2219;1;
03/08/2019;9999999;7550923K2219;5;
03/08/2019;9999999;755102012214;1;
